epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.6783,1.2813,1.52359,1.56099,0.71526,0.55218,0.57212,0.27428,1.71159,1.51255,2.31368,0.00033189,0.00033189,0.0671429
2,152.848,1.26285,1.24071,1.55382,0.70005,0.5934,0.62554,0.29304,1.74317,1.46169,2.34856,0.000648759,0.000648759,0.0341264
3,294.965,1.23725,1.18669,1.52569,0.74867,0.64706,0.67317,0.41001,1.3527,1.19761,1.80486,0.000949128,0.000949128,0.00109343
4,434.917,1.21414,1.14094,1.51089,0.77068,0.70485,0.73277,0.43442,1.28439,1.32892,1.6719,0.00092575,0.00092575,0.00092575
5,550.519,1.19058,1.10799,1.49434,0.77389,0.72055,0.7294,0.45555,1.25075,1.11799,1.69464,0.000901,0.000901,0.000901
6,717.416,1.16576,1.05914,1.47791,0.81516,0.75547,0.79053,0.47881,1.29627,0.93214,1.74296,0.00087625,0.00087625,0.00087625
7,801.134,1.1525,1.01424,1.46469,0.82805,0.77028,0.79564,0.52299,1.10595,0.8811,1.50621,0.0008515,0.0008515,0.0008515
8,882.6,1.13925,1.01402,1.45087,0.82309,0.7586,0.79511,0.53357,1.16492,0.86496,1.58333,0.00082675,0.00082675,0.00082675
9,993.023,1.11741,0.96988,1.43596,0.82303,0.77399,0.80698,0.53669,1.11355,0.83517,1.514,0.000802,0.000802,0.000802
10,1060.74,1.1007,0.95148,1.41594,0.80957,0.79773,0.8161,0.53161,1.1587,0.95022,1.5836,0.00077725,0.00077725,0.00077725
11,1134.63,1.09723,0.93529,1.41534,0.78881,0.78122,0.78781,0.54799,1.04099,0.92786,1.45759,0.0007525,0.0007525,0.0007525
12,1245.05,1.06313,0.91735,1.39113,0.82375,0.77915,0.7926,0.55469,1.02404,0.84966,1.4546,0.00072775,0.00072775,0.00072775
13,1344.33,1.06069,0.90964,1.38895,0.83593,0.81497,0.83387,0.5644,1.11057,0.78733,1.4947,0.000703,0.000703,0.000703
14,1471.14,1.04684,0.87016,1.37314,0.82104,0.78741,0.80731,0.54967,1.06723,0.84453,1.46138,0.00067825,0.00067825,0.00067825
15,1609.78,1.04114,0.88059,1.36896,0.81985,0.80495,0.82839,0.5745,1.01974,0.76365,1.41779,0.0006535,0.0006535,0.0006535
16,1741.01,1.03793,0.86994,1.36961,0.84487,0.78126,0.80428,0.54744,1.05455,0.80044,1.4182,0.00062875,0.00062875,0.00062875
17,1832.18,1.02696,0.84208,1.35948,0.80881,0.80908,0.81897,0.57414,1.00664,0.75685,1.4043,0.000604,0.000604,0.000604
18,1945.19,1.00646,0.86715,1.34629,0.85245,0.78947,0.83374,0.58348,1.04138,0.7445,1.43752,0.00057925,0.00057925,0.00057925
19,2092.34,1.00564,0.82406,1.35013,0.82743,0.79773,0.82442,0.59057,0.97421,0.74481,1.36043,0.0005545,0.0005545,0.0005545
20,2198.93,1.00468,0.80357,1.34775,0.83376,0.80392,0.8379,0.61053,0.95874,0.70064,1.36501,0.00052975,0.00052975,0.00052975
21,2341.86,0.97777,0.79044,1.32529,0.8484,0.80392,0.83746,0.60562,0.9833,0.73446,1.4025,0.000505,0.000505,0.000505
22,2451.48,0.97603,0.78907,1.32674,0.82982,0.80009,0.83109,0.59598,0.97765,0.72865,1.38003,0.00048025,0.00048025,0.00048025
23,2582.56,0.97271,0.77608,1.31006,0.85179,0.80069,0.82491,0.6019,0.92204,0.70681,1.32142,0.0004555,0.0004555,0.0004555
24,2694.05,0.94517,0.74614,1.30439,0.84513,0.79876,0.83146,0.60669,0.92067,0.69416,1.33373,0.00043075,0.00043075,0.00043075
25,2792.61,0.96155,0.76459,1.3081,0.83849,0.80903,0.82813,0.61623,0.91224,0.70172,1.31232,0.000406,0.000406,0.000406
26,2886.86,0.95123,0.74835,1.29873,0.84889,0.81527,0.84007,0.62726,0.91099,0.66851,1.31844,0.00038125,0.00038125,0.00038125
27,3017.69,0.93965,0.74195,1.29554,0.85575,0.79586,0.83395,0.61969,0.88583,0.68253,1.30086,0.0003565,0.0003565,0.0003565
28,3125.43,0.92686,0.73155,1.29369,0.84969,0.80908,0.83131,0.62475,0.87628,0.68957,1.29511,0.00033175,0.00033175,0.00033175
29,3245.78,0.93328,0.7287,1.29042,0.84773,0.79876,0.83562,0.62809,0.88924,0.70435,1.30177,0.000307,0.000307,0.000307
30,3419.05,0.92054,0.71802,1.2819,0.8434,0.81837,0.83637,0.61871,0.89428,0.66118,1.29283,0.00028225,0.00028225,0.00028225
31,3780.93,0.78591,0.58793,1.2263,0.83059,0.81968,0.8396,0.619,0.8966,0.68385,1.29964,0.0002575,0.0002575,0.0002575
32,3994.86,0.7796,0.53171,1.2138,0.86406,0.80599,0.84136,0.60937,0.97174,0.67568,1.34715,0.00023275,0.00023275,0.00023275
33,4170.53,0.76454,0.56272,1.20048,0.86532,0.80289,0.8432,0.62303,0.92062,0.66997,1.30643,0.000208,0.000208,0.000208
34,4310.54,0.7591,0.50036,1.19938,0.83927,0.82766,0.84444,0.63661,0.84619,0.66371,1.24572,0.00018325,0.00018325,0.00018325
35,4488.05,0.74213,0.49796,1.18532,0.85136,0.80805,0.84027,0.63947,0.84754,0.6536,1.24994,0.0001585,0.0001585,0.0001585
36,4730.67,0.74613,0.49909,1.1898,0.85844,0.79463,0.84063,0.64773,0.81927,0.6364,1.22648,0.00013375,0.00013375,0.00013375
37,4903.84,0.73021,0.47987,1.17683,0.84879,0.82147,0.85213,0.65497,0.81301,0.63029,1.21722,0.000109,0.000109,0.000109
38,5118.66,0.71533,0.46638,1.16593,0.83862,0.83075,0.85146,0.65565,0.82369,0.6219,1.21883,8.425e-05,8.425e-05,8.425e-05
39,5224.07,0.70685,0.46332,1.16243,0.84708,0.82869,0.85341,0.65996,0.81366,0.62621,1.21348,5.95e-05,5.95e-05,5.95e-05
40,5356.75,0.69473,0.45701,1.14289,0.83946,0.83105,0.85194,0.66081,0.80683,0.623,1.20938,3.475e-05,3.475e-05,3.475e-05
