epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.958,1.29766,1.26621,1.20472,0.52364,0.53484,0.53443,0.3307,1.34618,2.34408,1.48418,0.000332555,0.000332555,0.0670771
2,372.779,1.1922,0.96456,1.16701,0.74085,0.6371,0.68005,0.44065,1.2989,1.66083,1.423,0.000652703,0.000652703,0.0340639
3,552.757,1.16475,0.90236,1.15633,0.70352,0.71443,0.74232,0.44205,1.42275,1.33724,1.44975,0.000959652,0.000959652,0.00103753
4,745.253,1.12917,0.84966,1.14512,0.74436,0.70161,0.76147,0.50803,1.21801,1.27507,1.30253,0.0009406,0.0009406,0.0009406
5,1047.79,1.10147,0.80582,1.12423,0.72806,0.71774,0.78206,0.52896,1.15382,1.22946,1.27818,0.0009208,0.0009208,0.0009208
6,1413.07,1.07764,0.77181,1.11183,0.74513,0.71774,0.78581,0.52094,1.17751,1.37669,1.29426,0.000901,0.000901,0.000901
7,1589.79,1.06861,0.75623,1.10805,0.82262,0.71505,0.83271,0.54743,1.20613,1.1582,1.2776,0.0008812,0.0008812,0.0008812
8,1774.25,1.04158,0.72549,1.09191,0.7252,0.75806,0.80959,0.54401,1.16727,1.18477,1.26303,0.0008614,0.0008614,0.0008614
9,1950.16,1.03156,0.71251,1.09062,0.75453,0.70236,0.78234,0.51198,1.26002,1.21941,1.36242,0.0008416,0.0008416,0.0008416
10,2177.92,1.01134,0.69282,1.07808,0.73752,0.78554,0.80358,0.53127,1.24975,1.10484,1.30677,0.0008218,0.0008218,0.0008218
11,2390.12,1.00129,0.68056,1.07583,0.79764,0.76075,0.82591,0.56322,1.13563,1.1061,1.23937,0.000802,0.000802,0.000802
12,2578.13,0.99726,0.67414,1.0738,0.77088,0.73925,0.80066,0.55824,1.11293,1.11675,1.2197,0.0007822,0.0007822,0.0007822
13,2789.47,0.97793,0.6599,1.06729,0.80751,0.66935,0.78884,0.54705,1.14782,1.28161,1.25862,0.0007624,0.0007624,0.0007624
14,2984.97,0.97242,0.64979,1.05998,0.75658,0.81879,0.81526,0.55521,1.11343,1.07069,1.22519,0.0007426,0.0007426,0.0007426
15,3166.68,0.96962,0.64263,1.05695,0.76541,0.74731,0.79417,0.55893,1.08808,1.14185,1.18987,0.0007228,0.0007228,0.0007228
16,3379.52,0.95672,0.62271,1.05289,0.78137,0.70968,0.8021,0.57003,1.10547,1.16248,1.21792,0.000703,0.000703,0.000703
