epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3034,1.99141,2.34709,1.37293,0.82961,0.21595,0.36254,0.16204,2.10018,2.51534,1.40491,0.000329787,0.000329787,0.0673511
2,54.3677,1.87081,1.63334,1.32551,0.62659,0.44371,0.47784,0.21223,1.88782,1.55743,1.32385,0.000649991,0.000649991,0.0343379
3,79.7161,1.84098,1.51486,1.30817,0.6877,0.42839,0.50898,0.24261,1.8251,1.41752,1.30332,0.000956994,0.000956994,0.0013116
4,105.726,1.79911,1.46487,1.28567,0.58121,0.44058,0.46091,0.21099,1.90573,1.43419,1.36395,0.0009406,0.0009406,0.0009406
5,132.13,1.78075,1.41838,1.28229,0.66181,0.47174,0.53003,0.26418,1.7343,1.30745,1.24346,0.0009208,0.0009208,0.0009208
6,158.79,1.74681,1.35777,1.26553,0.71253,0.50082,0.55945,0.27909,1.76674,1.32784,1.26356,0.000901,0.000901,0.000901
7,185.651,1.73762,1.3218,1.25374,0.73548,0.46733,0.5633,0.28226,1.77197,1.21588,1.25371,0.0008812,0.0008812,0.0008812
8,213.684,1.71312,1.31136,1.23222,0.71649,0.48731,0.55564,0.28585,1.68109,1.20878,1.2408,0.0008614,0.0008614,0.0008614
9,242.612,1.67699,1.27127,1.22848,0.73044,0.50875,0.58481,0.2996,1.65839,1.15235,1.198,0.0008416,0.0008416,0.0008416
10,301.696,1.70557,1.2762,1.22561,0.74546,0.50789,0.57057,0.28436,1.75352,1.18164,1.25765,0.0008218,0.0008218,0.0008218
11,347.404,1.66801,1.24563,1.21859,0.73622,0.54171,0.61425,0.31245,1.64928,1.14927,1.22567,0.000802,0.000802,0.000802
12,416.851,1.63447,1.19731,1.20144,0.72669,0.54426,0.60919,0.31434,1.67767,1.09185,1.19694,0.0007822,0.0007822,0.0007822
13,481.283,1.63198,1.1872,1.21197,0.71323,0.53852,0.58838,0.30032,1.7124,1.09425,1.22401,0.0007624,0.0007624,0.0007624
14,544.951,1.63761,1.16568,1.19455,0.71137,0.54551,0.61392,0.31691,1.67982,1.10401,1.19453,0.0007426,0.0007426,0.0007426
15,606.898,1.59934,1.13418,1.18453,0.71905,0.57331,0.63456,0.33258,1.60242,1.10545,1.16849,0.0007228,0.0007228,0.0007228
16,668.897,1.6095,1.13003,1.1777,0.73337,0.54094,0.60545,0.30553,1.72292,1.04595,1.2278,0.000703,0.000703,0.000703
17,710.418,1.60582,1.12391,1.1761,0.76282,0.55324,0.62633,0.32524,1.6369,1.01937,1.19136,0.0006832,0.0006832,0.0006832
18,736.125,1.54962,1.08228,1.15922,0.76896,0.55504,0.62583,0.32664,1.61687,1.03523,1.17217,0.0006634,0.0006634,0.0006634
19,762.849,1.58079,1.10706,1.16686,0.76104,0.54669,0.62174,0.31652,1.65398,1.02092,1.17505,0.0006436,0.0006436,0.0006436
20,791.185,1.58448,1.09237,1.16787,0.77804,0.56636,0.6459,0.34136,1.6062,1.00356,1.17123,0.0006238,0.0006238,0.0006238
21,820.141,1.53975,1.05279,1.15065,0.77363,0.56709,0.64373,0.33954,1.60617,0.96146,1.16731,0.000604,0.000604,0.000604
22,850.474,1.55304,1.06906,1.15322,0.74397,0.60126,0.66158,0.34538,1.60145,0.95641,1.16303,0.0005842,0.0005842,0.0005842
23,879.621,1.54985,1.04653,1.15364,0.75167,0.57392,0.64618,0.34029,1.60857,0.96873,1.16899,0.0005644,0.0005644,0.0005644
24,909.234,1.5106,1.02031,1.14515,0.75437,0.59512,0.65964,0.34155,1.62661,0.98217,1.17232,0.0005446,0.0005446,0.0005446
25,939.522,1.50178,1.03027,1.14041,0.75222,0.58786,0.64652,0.3376,1.6331,0.97418,1.17667,0.0005248,0.0005248,0.0005248
26,970.808,1.50557,1.01094,1.14654,0.80112,0.5729,0.66408,0.33568,1.64971,0.94553,1.18366,0.000505,0.000505,0.000505
27,1003.77,1.50141,1.00851,1.12895,0.77977,0.59601,0.67227,0.35669,1.59134,0.93958,1.15966,0.0004852,0.0004852,0.0004852
28,1035.32,1.49626,1.00759,1.13062,0.76241,0.5957,0.66544,0.35715,1.54883,0.92343,1.14095,0.0004654,0.0004654,0.0004654
29,1067.56,1.46517,0.95802,1.11214,0.77605,0.59996,0.67206,0.35446,1.58953,0.91597,1.15657,0.0004456,0.0004456,0.0004456
30,1099.14,1.48276,0.9914,1.12086,0.76157,0.60234,0.67541,0.361,1.529,0.9026,1.13595,0.0004258,0.0004258,0.0004258
31,1130.73,1.45558,0.97603,1.10733,0.77427,0.59369,0.66695,0.35941,1.54466,0.90168,1.13279,0.000406,0.000406,0.000406
32,1165.65,1.44644,0.9441,1.1084,0.78529,0.59244,0.66114,0.34985,1.57935,0.90972,1.15164,0.0003862,0.0003862,0.0003862
33,1197.51,1.43302,0.94259,1.1084,0.80042,0.59019,0.68667,0.36973,1.51928,0.88103,1.13585,0.0003664,0.0003664,0.0003664
34,1234.14,1.43999,0.93925,1.11701,0.76364,0.60486,0.67056,0.36143,1.54483,0.87924,1.14341,0.0003466,0.0003466,0.0003466
35,1272.22,1.45636,0.94949,1.11602,0.80212,0.60537,0.69426,0.36826,1.54792,0.89153,1.14233,0.0003268,0.0003268,0.0003268
36,1310.24,1.41507,0.91558,1.09306,0.78055,0.6324,0.69754,0.36705,1.57008,0.84841,1.14623,0.000307,0.000307,0.000307
37,1345.33,1.42548,0.92165,1.09148,0.77088,0.62271,0.68626,0.36368,1.57258,0.86716,1.1457,0.0002872,0.0002872,0.0002872
38,1385.27,1.42117,0.90972,1.10379,0.77961,0.63463,0.69984,0.37495,1.52967,0.85465,1.12689,0.0002674,0.0002674,0.0002674
39,1424.33,1.41102,0.89217,1.09426,0.8141,0.59712,0.69469,0.37785,1.49321,0.8507,1.1165,0.0002476,0.0002476,0.0002476
40,1457.35,1.40714,0.89051,1.09028,0.80483,0.622,0.70353,0.37475,1.52867,0.84837,1.12651,0.0002278,0.0002278,0.0002278
41,1588.65,1.35315,0.79685,1.06104,0.77608,0.62721,0.6904,0.36299,1.57336,0.88979,1.14423,0.000208,0.000208,0.000208
42,1646.57,1.33152,0.75716,1.05537,0.79591,0.6351,0.69903,0.3778,1.50823,0.85571,1.11886,0.0001882,0.0001882,0.0001882
43,1690.8,1.32084,0.75711,1.04707,0.79814,0.61522,0.70473,0.38514,1.4956,0.83701,1.11642,0.0001684,0.0001684,0.0001684
44,1745.51,1.29996,0.74209,1.03622,0.76991,0.63823,0.70323,0.38236,1.51573,0.84867,1.12882,0.0001486,0.0001486,0.0001486
45,1769.1,1.28403,0.74312,1.04205,0.79098,0.64331,0.70705,0.38336,1.49081,0.82836,1.11795,0.0001288,0.0001288,0.0001288
46,1793.71,1.27077,0.71661,1.02827,0.78134,0.63229,0.70447,0.38182,1.50604,0.83805,1.12688,0.000109,0.000109,0.000109
47,1820.08,1.28065,0.72707,1.03271,0.8074,0.62355,0.697,0.37597,1.52258,0.84147,1.13261,8.92e-05,8.92e-05,8.92e-05
48,1850.46,1.2544,0.70253,1.02466,0.79715,0.63341,0.70717,0.3846,1.51011,0.82098,1.12251,6.94e-05,6.94e-05,6.94e-05
49,1885.28,1.26041,0.7062,1.0206,0.80144,0.63429,0.7135,0.39353,1.4797,0.80625,1.1123,4.96e-05,4.96e-05,4.96e-05
50,1936.47,1.25226,0.70019,1.01772,0.78734,0.63743,0.70575,0.38426,1.50282,0.81399,1.11875,2.98e-05,2.98e-05,2.98e-05
